_id,_name,_industry,_sector,_headquarters,_founded
0,Agrana,Consumer goods,Food products,Vienna,1988
1,pewag group,Industrials,Industrial machinery,Klagenfurt,1479
2,AHT Cooling Systems,Industrials,Electronic equipment,Rottenmann,1983
3,Ammerer Bed Company,Consumer goods,Durable household products,Ried im Innkreis,1763
4,ams AG,Technology,Semiconductors,Premst�tten,1981
5,Andritz,Industrials,Industrial machinery,Graz,1852
6,Atomic Skis,Consumer goods,Recreational products,Altenmarkt im Pongau,1955
7,Augarten porcelain,Consumer goods,Durable household products,Vienna,1923
8,AMAG Austria Metall AG,Industrials,Diversified industrials,Braunau am Inn,1938
9,Austria Wirtschaftsservice Gesellschaft (aws),Financials,Banks,Vienna,1954
10,Austrian Airlines,Consumer services,Airlines,Schwechat,1957
11,AVL,Industrials,Business support services,Graz,1948
12,B&R,Industrials,Electronic equipment,Eggelsberg,1979
13,Bank Austria,Financials,Banks,Vienna,1855
14,bauMax,Consumer services,Home improvement retailers,Klosterneuburg,1976
15,BAWAG,Financials,Banks,Vienna,1922
16,Bene AG,Consumer goods,Furnishings,Waidhofen an der Ybbs,1790
17,Bestattung Wien,Consumer services,Specialized consumer services,Vienna,1907
18,Billa,Consumer services,Food retailers & wholesalers,Wiener Neudorf,1953
19,B�hler-Uddeholm,Basic materials,Iron & steel,Vienna,1991
20,Borealis,Basic materials,Commodity chemicals,Vienna,1994
21,B�sendorfer,Consumer goods,Recreational products,Vienna,1828
22,Bundesimmobiliengesellschaft (BIG),Financials,Real estate holding & development,Vienna,1992
23,Cineplexx Cinemas,Consumer services,Recreational services,Vienna,1993
24,CISC Semiconductor,Technology,Semiconductors,Klagenfurt,1999
25,Delfortgroup,Basic materials,Paper,Traun,2006
26,Dependeq,Industrials,Business support services,Vienna,1999
27,Diamond Aircraft Industries,Consumer goods,Aerospace,Wiener Neustadt,1981
28,Doka Group,Industrials,Heavy construction,Amstetten,1868
29,Doppelmayr Garaventa Group,Consumer goods,Recreational products,Wolfurt,1892
30,Dorotheum,Consumer services,Specialized consumer services,Vienna,1707
31,Erste Bank,Financials,Banks,Vienna,2008
32,Fabasoft,Technology,Software,Linz,1988
33,Fischer,Consumer goods,Recreational products,Ried im Innkreis,1924
34,Frequentis,Technology,Telecommunications equipment,Vienna,1947
35,GE Jenbacher,Industrials,Industrial machinery,Jenbach,1959
36,Gericom,Technology,Computer hardware,Linz,1990
37,Gessler,Consumer goods,Distillers & vintners,Vienna,1777
38,Glock Ges.m.b.H.,Industrials,Defense,Deutsch-Wagram,1963
39,Goldscheider ceramics,Consumer goods,Durable household products,Vienna,1885
40,Julius Blum,Consumer goods,Furnishings,H�chst,1952
41,Julius Meinl,Consumer goods,Beverages,Vienna,1862
42,Kapsch,Technology,Telecommunications equipment,Vienna,1892
43,Kika,Consumer goods,Furnishings,Vienna,1973[3]
44,Kores,Consumer goods,Nondurable household products,Vienna,1887
45,KTM,Consumer goods,Automobiles,Mattighofen,1934
46,Lenzing AG,Basic materials,Commodity chemicals,Lenzing,1938
47,L�blich & Co.,Industrials,Industrial machinery,Vienna,1738
48,Lyoness,Consumer services,Specialized consumer services,Graz,2003
49,Magna Steyr,Consumer goods,Automobiles,Graz,2001
50,Mayr-Melnhof,Industrials,Containers & packaging,Vienna,1950
51,Neumann International,Industrials,Business training & employment agencies,Vienna,1971
52,Niki,Consumer services,Airlines,Schwechat,2003
53,Noctua,Consumer goods,Computer hardware,Vienna,2005
54,�AF,Consumer goods,Automobiles,Floridsdorf,1907
55,�BB,Industrials,Railroads,Vienna,1923
56,OMV,Oil & gas,Exploration & production,Vienna,1956
57,Onepharm,Health care,Biotechnology,Vienna,2005
58,�sterreichische Industrieholding AG,Financials,Asset managers,Vienna,1967
59,�sterreichische Post,Logistics,Delivery services,Vienna,1999
60,Palfinger,Industrials,Commercial vehicles & trucks,Salzburg,1932
61,Pfanner,Consumer goods,Beverages,Lauterach,1856
62,Piatnik & S�hne,Consumer goods,Recreational products,Vienna,1824
63,Plansee Group,Basic materials,Commodity chemicals,Breitenwang,1921
64,Puch,Consumer goods,Automobiles,Graz,1899
65,Raiffeisen,Financials,Banks,Vienna,1927
66,Red Bull GmbH,Consumer goods,Beverages,Fuschl am See,1987
67,RHI AG,Industrials,Industrial suppliers,Vienna,1834
68,Rosenbauer,Industrials,Commercial vehicles & trucks,Leonding,1866
69,Rotax,Industrials,Auto components,Gunskirchen,1920
70,Runtastic,Technology,Software,Pasching,2009
71,Semperit,Basic materials,Commodity chemicals,Vienna,1824
72,SKIDATA,Industrials,Electronic equipment,Gr�dig,1977
73,Steyr Mannlicher,Industrials,Defense,Sankt Ulrich bei Steyr,1864
74,Steyr Motors GmbH,Industrials,Auto components,Sankt Ulrich bei Steyr,2001
75,Steyr Tractor,Consumer goods,Automobiles,Floridsdorf,1907
76,Strabag,Industrials,Heavy construction,Vienna,1835
77,Stroh,Consumer goods,Distillers & vintners,Klagenfurt,1832
78,Swarovski,Consumer goods,Clothing & accessories,Wattens,1895
79,Taurob,Robotics,Autonomous robots,Vienna,2010
80,Telekom Austria,Telecommunications,Fixed line telecommunications,Vienna,1998
81,TourRadar,Consumer services,Travel & tourism,Vienna,2010
82,Tushek&Spigel Supercars,Consumer goods,Automobiles,Graz,2012
83,Uniqa,Financials,Full line insurance,Vienna,1922
84,Verbund,Utilities,Alternative electricity,Vienna,1947
85,Vienna Insurance Group,Financials,Full line insurance,Vienna,1824
86,Voestalpine,Basic materials,Iron & steel,Linz,1938
87,Wienerberger,Industrials,Building materials & fixtures,Vienna,1819
88,Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,1950
89,Abelag Aviation,Consumer services,Airlines,Zaventem,1964
90,Ablynx,Health care,Biotechnology,Ghent[7],2001
91,Ackermans & van Haaren,Conglomerates,-,Antwerp,1876
92,AF Compressors,Industrials,Industrial Engineering,Liege,1870
93,AG Real Estate,Financials,Real estate holding and development,Brussels,1824
94,Ageas,Financials,Consumer finance,Brussels,1990
95,Agfa-Gevaert,Technology,Computer services,Mortsel,1867
96,Agoria,Industrials,Business support services,Brussels,1946
97,AIM Productions,Technology,Computer services,Hove,1994
98,Alpro,Consumer goods,Food products,Ghent[8],1980
99,Anheuser-Busch InBev,Consumer goods,Brewers,Leuven,2008
100,Antwerp Water Works,Utilities,Water,Antwerp,1880
101,Aquafin,Utilities,Water,Antwerp,1990
102,ASL Airlines Belgium,Industrials,Delivery services,Li�ge,1999
103,Associated Weavers,Consumer goods,Clothing and accessories,Ronse,1964
104,Aveve,Consumer goods,Farming and fishing,Aalter,1890
105,Aviapartner,Industrials,Delivery services,Brussels,1949
106,Barco,Technology,Computer hardware,Kortrijk,1934
